experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	pairwise_plate	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	1	NULL	A01	RIN1	7142	LW	1	4	NULL	20651
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	2	NULL	A02	RIN1	7142	LW	1	4	NULL	20206
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	3	NULL	A03	RIN1	7142	LW	1	4	NULL	20162
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	1	NULL	A05	RIN1	7142	LW	2	4	NULL	24311
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	2	NULL	A06	RIN1	7142	LW	2	4	NULL	28424
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	3	NULL	A07	RIN1	7142	LW	2	4	NULL	21235
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	1	NULL	A09	RIN1	7142	LW	3	4	NULL	16836
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	2	NULL	A10	RIN1	7142	LW	3	4	NULL	17587
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	3	NULL	A11	RIN1	7142	LW	3	4	NULL	14176
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	1	NULL	B01	KRIT1	71448	LW	1	4	NULL	22205
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	2	NULL	B02	KRIT1	71448	LW	1	4	NULL	19191
CCM2_More	XPKLWH	XPKLWH_sample_06	J_DB	C_AD	CCM2	3928	3	NULL	B03	KRIT1	71448	LW	1	4	NULL	17130
