orf_id	symbol_dacc
1	CALM2
9	ZNF76
17	TMBIM6
25	SLC9A3R1
36	CARHSP1
65	KRT18
66	SMN2
69	VIM
93	SMIM3
100	CCNDBP1
115	PLEKHG5
117	CANT1
122	STX8
124	TP53RK
135	BLOC1S2
137	SNAP29
138	MYD88
143	EZH2
145	PTS
147	PVR
150	RAD23B
152	TRIM27
154	ZBTB48
155	TBRG4
156	C1D
172	CCNK
190	DPF2
193	HMG20A
199	SYTL4
201	ZBED1
208	ARRDC3
209	OIP5
231	RAN
232	H3-3B
244	KEAP1
252	ZNF408
253	ALDOA
268	CTH
275	TRAPPC14
277	VIPAS39
279	CALCOCO2
281	MVK
282	MATR3
300	GALT
326	WWP2
329	VPS33B
333	LRIF1
343	AIMP2
349	TMEM19
359	CBS
361	GRAMD2B
369	SERPING1
371	CFL1
386	STAR
392	CTNND1
399	CDC42
428	RPL13
439	RNF208
442	PSMA1
445	NKAP
455	ARHGEF2
467	NECAB2
482	CARD14
487	LIME1
489	TAF1B
501	RBM8A
504	GJB2
510	CRADD
513	FA2H
525	ZNF250
549	AGR2
563	SIPA1L2
573	HOOK2
575	AGA
580	STX7
581	MAL2
604	ID1
613	PUF60
617	SHMT2
622	C1QBP
623	REEP4
636	NTF4
660	TOX4
675	RGS17
676	FNDC3B
678	ESM1
699	PSAT1
724	SERF2
727	DPH2
730	HPCAL1
732	RAF1
740	MSX2
747	RPIA
753	ZNF639
778	KPNA6
784	ZBTB8A
787	STRBP
789	FRMD6
798	PEX3
801	YWHAG
813	DDX41
817	BCHE
820	APPBP2
824	MEOX2
835	PCCB
842	BMX
843	RXYLT1
856	TCEANC
861	LBR
869	CMTM5
876	BTN2A1
879	MAT1A
888	PCCA
891	SRSF3
918	CCDC22
925	MOB1A
931	SEPHS1
946	DEGS1
954	YIF1A
955	ACTB
956	MFF
957	STAP2
961	PRPF18
968	PSAT1
978	MAGEA2
989	FXR2
991	ZBTB22
996	YARS1
998	RRAS2
1012	CAB39
1037	ACD
1039	ZNF669
1052	ZBTB32
1063	SMN2
1069	KCNN4
1074	MID2
1081	SMAD2
1097	ACADVL
1107	COX20
1136	LMO2
1142	GJA1
1155	GAD1
1161	FGF12
1172	FNDC9
1184	LMO3
1187	INSIG2
1190	CEP76
1194	SYNPR
1198	TNFSF14
1214	KCTD4
1227	TRIM23
1230	VPS26A
1231	AQP1
1235	HPCAL4
1256	KLHL3
1270	OLFM3
1275	KLHL26
1284	PTS
1295	M1AP
1317	PAK5
1326	CD46
1328	SLC13A4
1391	SPATA17
1414	SPAG8
1446	SMCP
1454	CNNM3
1485	ESR2
1496	CEP170
1527	PPP3R2
1557	HSPA13
1565	LIN7B
1579	TEKT4
1586	KIFAP3
1596	CEP70
1598	SUCLA2
1601	RASA1
1611	CBY2
1617	SSMEM1
1639	OBI1
1640	VPS45
1668	THAP1
1684	EXOSC1
1697	RMDN2
1734	NDEL1
1736	ANKRD29
1769	CATSPER1
1777	CMIP
1800	MPC1
1805	TGIF1
1818	RIPOR2
1841	HINT1
1846	FAM50B
1853	FHL5
1863	STAM2
1868	FATE1
1879	C2CD6
1881	EIF4ENIF1
1884	LIG4
1909	COPB1
1919	APPL1
1923	WT1
1940	RBMY1J
1957	TRIM39
1958	CTNS
1967	NINL
1969	ARMC12
1974	CCDC197
1976	ELOVL4
2003	SLC6A1
2012	LHFPL5
2018	TMEM239
2026	UBXN11
2030	AQP5
2055	DDX20
2077	CCDC13
2078	TRIM37
2088	LRAT
2092	NFYA
2098	EFHC2
2099	RFX6
2104	TEX11
2141	C1QTNF5
2156	PHYH
2162	C11orf65
2177	WWP1
2181	NPY
2205	HAAO
2208	RALYL
2245	KCTD13
2246	TSPAN12
2260	TMEM31
2261	UBQLN1
2265	IHO1
2269	B3GALNT2
2286	TMEM237
2304	CCDC14
2332	RIMBP3C
2339	YY1
2347	KPNA3
2352	KCNA3
2353	MAFB
2362	CFAP206
2369	SACM1L
2370	LMNB1
2374	ARL6IP1
2380	KRT8
2384	RALBP1
2403	ORC2
2416	EBP
2417	ALPP
2421	QARS1
2430	ILK
2431	C14orf119
2442	IMPDH2
2448	GRN
2454	EFS
2455	PRKAR1A
2456	CRTAC1
2468	TRIM2
2472	EFNB1
2486	PIK3R3
2500	ZNF212
2521	DNM1L
2522	TRIM38
2526	SIVA1
2530	UGDH
2533	PYGB
2538	C2CD2L
2549	CPSF7
2560	GDAP1
2563	FGF13
2584	TFAP2A
2587	DTX2
2588	UNC119
2595	TGFB1
2613	SULT2B1
2615	STX19
2617	RPP14
2620	SNAI1
2622	FAS
2634	RNF6
2636	CDSN
2644	METTL13
2649	DCT
2651	CLN6
2654	FBP1
2658	ZNF177
2665	GJB3
2680	RNF125
2687	ASL
2693	S100P
2704	PPARG
2713	MLH1
2723	NFIB
2729	KYNU
2739	POLR1D
2758	TMEM106C
2767	GALE
2772	AVPI1
2778	SNF8
2786	GNB1
2792	SMOC1
2794	HBA2
2801	PSTPIP1
2803	HMBS
2810	BMP7
2816	C1QB
2818	C1QC
2821	PRPSAP1
2827	RSPH14
2831	TMEM80
2837	ACY3
2838	TMEM248
2842	C16orf74
2845	REEP6
2860	PRTFDC1
2863	PTPN11
2866	NEUROD1
2869	ETHE1
2872	NEUROG1
2893	WBP2
2906	EFEMP2
2910	AMOTL2
2914	SMARCC2
2918	BAALC
2920	GFAP
2922	IGFBP5
2924	OLFM2
2938	TMEM231
2940	IKZF1
2958	N4BP2L2
2961	PPP2R5D
2991	DTNB
2998	SNAP25
3013	SLC38A1
3015	CRX
3020	CHN1
3022	SCARB2
3023	MLX
3031	STOM
3037	PEX5
3038	CREB1
3048	PDE9A
3050	NTN4
3057	EDC3
3064	SYF2
3068	DDIT4L
3077	RBCK1
3086	GOSR2
3090	ZMAT5
3091	UBA5
3095	ZG16B
3108	SERPINE1
3110	LMO4
3123	ACTG1
3125	NME1
3146	EEF1A2
3148	EIF3F
3171	PEX19
3175	EIF2B2
3180	NAA10
3187	LSM4
3192	CDKN1A
3197	CASP2
3207	ERG28
3219	KATNAL1
3224	STAT3
3238	HYAL2
3260	TENT5A
3263	TMX2
3267	TSG101
3271	MRPS23
3292	PRPF3
3339	TRAF4
3340	ANKRD10
3359	NSDHL
3360	FUNDC2
3364	SCNM1
3392	SPG21
3400	BEX3
3405	IL11RA
3411	THRA
3414	GALK1
3419	EXT1
3422	NECTIN2
3434	LDOC1
3438	TMEM43
3441	RPS19
3449	GMPPB
3468	NDUFAF1
3479	TTLL12
3483	GYG1
3484	CALM3
3490	ATF5
3504	RBPMS
3522	NCK2
3523	RUSC1
3525	FUCA2
3533	CERT1
3535	EMD
3543	TGFBI
3562	PDLIM7
3564	NEU1
3567	NEK6
3568	FANCG
3581	MCOLN1
3594	SYNGR1
3598	DAZAP2
3601	PTDSS1
3608	CYB561
3632	NSG1
3643	EIF2B4
3648	SATB1
3650	PIMREG
3668	SQSTM1
3670	DUSP23
3672	WWOX
3689	GCK
3693	TUFM
3694	PNRC2
3697	NF2
3699	ZNF24
3701	CDK5
3721	WDR5
3722	RPA2
3727	NCF2
3731	PRPS1
3732	UROD
3739	SYK
3753	C1orf50
3754	USP2
3755	PPIL1
3756	VAPB
3759	ZNF426
3760	BAP1
3761	ID3
3768	TCL1A
3769	HGS
3772	RFC5
3782	SMAD1
3787	CSNK1D
3798	ACTN1
3799	TRAFD1
3804	B9D2
3818	PSMC5
3823	ISY1
3824	CKMT1A
3825	TUBB
3833	HSPD1
3836	VAPA
3837	PEX16
3844	ACY1
3872	KEL
3878	TRIM32
3882	SQSTM1
3901	MUTYH
3903	LMNA
3904	MALL
3907	TRIP6
3912	TGFBI
3928	CCM2
3931	BBLN
3933	CDKN2D
3952	SGTA
3958	TSPAN4
3970	HMOX2
3975	HNRNPA1
3980	GRN
3983	MGST3
3990	PSMD2
4004	FADD
4010	UBOX5
4019	CDK4
4020	CHEK2
4040	SAR1A
4043	COQ8A
4046	RLBP1
4058	ZSCAN5A
4062	PLP1
4066	HSPB8
4071	PPP2CA
4085	PPP1CB
4099	TNNT2
4105	KRT15
4126	STAT1
4137	VAMP2
4146	NELFA
4166	NCF1
4167	TMEM243
4173	C1orf35
4177	SOX10
4184	TMEM11
4190	ALG3
4193	CBR3
4218	ZC2HC1C
4236	FIS1
4239	IGFBP6
4249	SF3B4
4252	PSAP
4255	TFPT
4289	MSH6
4302	FAM214B
4309	APOL2
4315	CYB5B
4320	ZC4H2
4350	SNAPIN
4351	NME4
4361	MAGEA11
4373	HOXD3
4381	UBIAD1
4384	MAX
4396	YJU2B
4406	PIN1
4407	ELOA
4414	GSTA2
4418	RPRM
4434	SLC52A2
4443	ASNS
4447	STAC3
4452	SF1
4453	HRAS
4461	CLDN6
4465	RUNDC3A
4480	SH3GLB1
4481	B4GALT7
4482	NMB
4484	EXO1
4499	MAPRE2
4506	APOD
4515	PNPO
4516	GMCL1
4519	GMPPA
4538	MIIP
4546	ZYX
4552	TMEM167B
4562	NIF3L1
4568	CWF19L1
4569	LZTS2
4573	RBM10
4576	BCL2L13
4605	KPNA1
4616	UBE2I
4621	KXD1
4622	TNFAIP1
4623	KLHL12
4625	BCKDHA
4635	RBMX
4636	TARBP2
4662	CIRBP
4664	TRIP13
4671	SNRPA
4676	SERPINF1
4683	PDHA1
4687	SMAD4
4692	LDHB
4695	SMUG1
4696	RTL8C
4706	HNRNPK
4717	CEP55
4723	TPM1
4725	RPL9
4727	KRTAP4-12
4755	RNF8
4757	RABAC1
4759	VPS37B
4761	AP2B1
4765	ITGB2
4784	HARS2
4785	STAMBP
4786	NTAQ1
4798	ENKD1
4812	GYS1
4815	CSNK1E
4828	CDC45
4829	KHK
4830	SUV39H1
4832	SPG7
4836	RHBDD2
4841	HSD17B14
4842	SYNJ2BP
4851	POT1
4854	ERCC3
4857	NR1H3
4860	BRMS1L
4862	SLC30A2
4870	KRT6A
4872	EYA2
4887	CSNK2A2
4910	AMPD2
4920	CKS1B
4929	MSC
4935	SLC18A1
4938	CHRNA1
4946	PTPRN
4948	EXTL3
4955	HSPB7
4960	PCBD1
4973	GORASP2
4976	TRIM14
4978	ZNF346
4981	CLN8
4982	ABI3
4983	AP2S1
5002	PHF1
5003	CLPB
5046	NQO2
5052	MMACHC
5053	SEC23B
5065	C2orf88
5066	BAG3
5074	TINF2
5081	HERPUD2
5082	ACTN4
5093	TMEM79
5132	GSS
5143	MDFI
5147	SDHB
5163	HES6
5175	PPP1R16A
5219	STUB1
5221	NGLY1
5229	ANXA11
5231	LASP1
5285	OTX1
5307	NUBP2
5313	ERCC2
5335	PMM2
5345	IGF2
5348	AKT1
5358	PFKM
5359	FHL3
5375	TUBB3
5385	WRAP53
5398	SHMT1
5400	INTS11
5424	BLK
5431	POLR1C
5437	EXOSC3
5439	CARD9
5441	PUF60
5442	SIX1
5453	PIGP
5462	NRAS
5491	HSPB11
5498	OSTF1
5499	MRPS18B
5523	FXYD3
5539	ZMYM5
5585	CRYAB
5590	TDO2
5591	GMNN
5593	CXCL5
5597	IFNGR1
5607	PSMC6
5613	APOA1
5619	TIMM8A
5628	INS
5629	ZNF670
5633	NME7
5645	GYPA
5651	MYOZ2
5658	VAMP3
5673	PLN
5681	CSRP3
5702	SMARCE1
5712	TPM3
5716	CCNL1
5718	NPPA
5723	SFTPC
5737	FTL
5738	CNOT9
5772	BANF1
5793	MS4A3
5801	USE1
5807	CAP2
5808	HBB
5810	RHOA
5817	ESS2
5818	SOX2
5823	GRB7
5832	FXYD6
5839	TUBA4A
5848	HEXB
5852	LRSAM1
5854	SORD
5861	PPP2R1A
5864	CDKN2A
5865	GAMT
5875	HADHA
5880	PAPSS2
5894	TFIP11
5896	AHCY
5901	HAND1
5904	PRKRA
5910	DBH
5912	HYPK
5916	GTPBP3
5923	ITGB3BP
5926	HMOX1
5931	ICAM1
5933	TFG
5935	RAC2
5942	MSI2
5949	ZNF202
5951	PYCR1
5965	FHL2
5970	TRIB3
5989	BCL2L1
5991	ATP5F1A
6007	CD151
6014	ASS1
6018	ASNS
6027	GNAI2
6046	TRIP10
6059	SMIM19
6064	GLI1
6077	PAX8
6080	KARS1
6096	MPV17
6112	ZNF526
6119	SUFU
6129	CAPN1
6137	PITX1
6138	TACSTD2
6151	HIF1A
6157	OPTN
6171	BAIAP2L1
6173	CTCF
6179	ZNF71
6192	BTC
6195	TCEA2
6197	CCND3
6203	HOOK1
6211	BAAT
6225	UBE2J1
6231	SDC3
6232	SEMA3B
6236	CSRNP2
6254	DACH1
6269	TMEM174
6281	KCNJ15
6288	DCPS
6292	NUP54
6309	GSTP1
6319	WASHC3
6324	PPP1R3C
6325	ORMDL2
6326	TNNI1
6329	CFL2
6336	MYL2
6337	SCAMP1
6339	SULT1B1
6341	HBG2
6345	TCAP
6356	TCAP
6359	CCND2
6363	SDHD
6395	IRAK4
6406	LDB3
6408	IER3IP1
6430	TNNT1
6446	ERGIC3
6448	COIL
6464	TMEM203
6488	RAC3
6490	PIAS2
6512	UBE3A
6520	IFT43
6534	BANP
6552	MAGEA8
6559	ARHGEF5
6562	MESD
6598	CDCA5
6602	CERS4
6604	ATP23
6625	SPATA2
6631	RBM12
6632	COG4
6644	BSCL2
6653	PELI2
6666	MAP2K2
6699	CSNK2A1
6704	GABARAPL1
6710	STMN3
6714	KCTD15
6722	SMARCD1
6724	KLHDC7B
6725	CBX8
6733	BLMH
6734	FLI1
6754	PDCD10
6756	RAB6B
6759	RPS27A
6770	SEC22B
6786	DKC1
6791	DBNL
6792	SCYL1
6802	KRT33B
6806	PLOD3
6808	FKBP8
6811	MAD1L1
6813	ZBTB5
6819	CDC42EP1
6839	ATP13A1
6853	MBD4
6860	EEF2KMT
6866	MDK
6869	LHX4
6876	GADD45A
6877	TTC19
6892	EXT2
6901	MCRS1
6916	TNFRSF1A
6932	RCN1
6935	TRAPPC2B
6947	TPM2
6953	PLEKHF2
6959	ATP6V0C
6961	GIMAP5
6963	PLSCR3
6965	CDCA4
6970	PSEN1
6983	PITX2
6985	CCDC174
7011	CEP63
7021	PLEKHB2
7035	GATA2
7038	DIABLO
7045	TNIP1
7047	ETFDH
7048	MMAB
7058	RAD23A
7081	SERTAD3
7084	COQ4
7106	SYNGR3
7110	JUP
7122	ASB13
7128	ARC
7142	RIN1
7147	EFEMP1
7150	NFE2L2
7154	SLC22A5
7167	AIPL1
7171	MRPL53
7177	ACTB
7187	MAPRE3
7198	RXRG
7201	RAD51D
7215	NR0B1
7226	TIMMDC1
7233	STX5
7245	DLX3
7251	OCA2
7254	MFSD2A
7255	SYAP1
7270	PQBP1
7273	LAT
7280	CLDN14
7297	RBFA
7305	AP4B1
7320	ARSA
7323	PMP22
7356	LAPTM4B
7357	LPXN
7366	ADPRS
7389	CTRC
7404	PIH1D2
7408	TM4SF18
7419	UPRT
7424	PYROXD1
7439	ABI2
7450	NCBP1
7463	PHKG2
7465	GATA2
7473	GSTZ1
7474	CDIPT
7487	HHEX
7511	C4orf3
7515	XRCC4
7547	BNIP3
7561	PGRMC2
7584	YARS2
7586	BAIAP2L2
7587	NR3C1
7591	MAPK1IP1L
7595	SLC37A4
7606	BIRC7
7617	CREB3L1
7626	ARMC5
7630	FASLG
7634	CSNK1D
7637	CFP
7646	LENG1
7651	IL2RG
7652	STXBP1
7662	XPA
7664	SEC11A
7675	NMNAT1
7682	CDR2
7696	USH1C
7699	FANCC
7727	STAT3
7728	MPG
7756	ANKRD1
7781	EIF3M
7792	TRIM29
7804	CAMK2B
7813	ASGR2
7826	FUCA1
7828	PORCN
7845	AGTRAP
7866	EFHC1
7867	CSF1
7875	MFSD14B
7876	PTPMT1
7877	GPSM3
7881	TRIM41
7907	C1QTNF1
7912	CALN1
7917	ZBTB26
7918	MSH2
7923	FAH
7935	MSTO1
7938	GCDH
7953	MMP2
7954	BEGAIN
7965	VPS35
7966	QDPR
7972	IFT27
7982	HPRT1
8000	DARS1
8013	STX4
8017	SLC39A7
8024	DNAJB6
8028	DDX17
8047	GJB4
8054	NUP93
8057	ZMAT4
8058	POLDIP3
8070	KIF2A
8101	ERLIN1
8103	PRR22
8105	KRT6B
8114	DZIP1L
8131	VAMP1
8141	LNX1
8143	SH3BP2
8151	IL36RN
8165	HAS3
8168	QKI
8177	SNIP1
8186	CLEC2D
8190	UBTD2
8208	RB1
8213	PGM1
8227	TMEM86B
8239	STOML3
8245	RDH12
8274	MYOZ1
8276	SLC26A3
8297	HBZ
8313	PKLR
8314	AOAH
8316	PPP3R1
8320	SGCA
8352	USHBP1
8357	ERP27
8359	CCDC33
8362	NKX2-5
8365	MYO15B
8380	SPINK1
8398	GPD1
8400	ZNF417
8402	SERPINI2
8407	PPP3CA
8409	PDGFRB
8416	DCX
8420	ALAS2
8447	TMEM242
8459	ASPA
8487	RCBTB2
8500	PROC
8514	CYP4F12
8515	DPYS
