orf_id	ensembl_gene_id	ensembl_gene_id_version	ensembl_protein_id	hgnc_symbol	hgnc_id	uniprot_ac
2362	ENSG00000272514	6	ENSP00000358575	CFAP206	HGNC:21405	Q8IYR0
13585	ENSG00000167578	18	ENSP00000349560	RAB4B	HGNC:9782	P61018
53113	ENSG00000170276	6	ENSP00000302476	HSPB2	HGNC:5247	Q16082
17	ENSG00000139644	13	ENSP00000267115	TMBIM6	HGNC:11723	P55061
122	ENSG00000170310	15	ENSP00000305255	STX8	HGNC:11443	Q9UNK0
154	ENSG00000204859	13	ENSP00000366902	ZBTB48	HGNC:4930	P10074
489	ENSG00000115750	17	ENSP00000263663	TAF1B	HGNC:11533	Q53T94
525	ENSG00000196150	14	ENSP00000393442	ZNF250	HGNC:13044	P15622
580	ENSG00000079950	14	ENSP00000356918	STX7	HGNC:11442	O15400
724	ENSG00000140264	22	ENSP00000339647	SERF2	HGNC:10757	P84101
787	ENSG00000165209	19	ENSP00000321347	STRBP	HGNC:16462	Q96SI9
1184	ENSG00000048540	16	ENSP00000440099	LMO3	HGNC:6643	Q8TAP4
1187	ENSG00000125629	16	ENSP00000245787	INSIG2	HGNC:20452	Q9Y5U4
1270	ENSG00000118733	17	ENSP00000359121	OLFM3	HGNC:17990	Q96PB7
1295	ENSG00000159374	18	ENSP00000414882	M1AP	HGNC:25183	Q8TC57
1565	ENSG00000104863	12	ENSP00000221459	LIN7B	HGNC:17788	Q9HAP6
1684	ENSG00000171311	13	ENSP00000359939	EXOSC1	HGNC:17286	Q9Y3B2
1697	ENSG00000115841	21	ENSP00000346549	RMDN2	HGNC:26567	Q96LZ7
1909	ENSG00000129083	13	ENSP00000397873	COPB1	HGNC:2231	P53618
2369	ENSG00000211456	14	ENSP00000373713	SACM1L	HGNC:17059	Q9NTJ5
2526	ENSG00000184990	13	ENSP00000329447	SIVA1	HGNC:17712	O15304
2538	ENSG00000172375	14	ENSP00000497391	C2CD2L	HGNC:29000	O14523
2827	ENSG00000100218	12	ENSP00000216036	RSPH14	HGNC:13437	Q9UHP6
3022	ENSG00000138760	11	ENSP00000264896	SCARB2	HGNC:1665	Q14108
3023	ENSG00000108788	12	ENSP00000416627	MLX	HGNC:11645	Q9UH92
3050	ENSG00000074527	13	ENSP00000444432	NTN4	HGNC:13658	Q9HB63
3207	ENSG00000133935	7	ENSP00000256319	ERG28	HGNC:1187	Q9UKR5
3360	ENSG00000165775	18	ENSP00000358510	FUNDC2	HGNC:24925	Q9BWH2
3753	ENSG00000164008	17	ENSP00000361603	C1orf50	HGNC:28795	Q9BV19
3768	ENSG00000100721	11	ENSP00000385036	TCL1A	HGNC:11648	P56279
3836	ENSG00000101558	14	ENSP00000382880	VAPA	HGNC:12648	Q9P0L0
3904	ENSG00000144063	4	ENSP00000272462	MALL	HGNC:6818	Q13021
