experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	pairwise_plate	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	VAPB	3756	1	HsVcPPILacVa1AD1	A01	RMDN2	1697	3AT	3	2	NULL	33403
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	CAPN3	8876	2	HsVcPPILacVa1AD1	A02	EXOC8	10122	3AT	3	4	NULL	14374
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	KRT13	54296	1	HsVcPPILacVa1AD1	A03	SPG21	3392	3AT	3	4	NULL	9593
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa1AD1	A04	IMPDH2	2442	3AT	3	0	NULL	41
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	VAPB	3756	1	HsVcPPILacVa1AD1	B01	RNF111	10794	3AT	3	4	NULL	10097
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	CAPN3	8876	1	HsVcPPILacVa1AD1	B02	WDYHV1	4786	3AT	3	4	NULL	20115
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	KRT13	54296	1	HsVcPPILacVa1AD1	B03	HGS	3769	3AT	3	4	NULL	0
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa1AD1	B04	IMPDH1	71077	3AT	3	4	NULL	10368
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	VAPB	3756	1	HsVcPPILacVa1AD1	C01	GPR25	54492	3AT	3	4	NULL	40961
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	CAPN3	8876	1	HsVcPPILacVa1AD1	C02	EXOC8	10122	3AT	3	4	NULL	19925
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	KRT13	54296	1	HsVcPPILacVa1AD1	C03	MYO15B	8365	3AT	3	4	NULL	8268
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	MYD88	138	1	HsVcPPILacVa1AD1	D01	ZNF35	71060	3AT	3	2	NULL	16791
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	RP2	11374	2	HsVcPPILacVa1AD1	D02	OSTF1	5498	3AT	3	4	NULL	19045
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	KRT13	54296	1	HsVcPPILacVa1AD1	D03	KRT75	100064207	3AT	3	4	NULL	10389
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	MYD88	138	1	HsVcPPILacVa1AD1	E01	WDYHV1	4786	3AT	3	3	NULL	18764
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	RP2	11374	3	HsVcPPILacVa1AD1	E02	OSTF1	5498	3AT	3	4	NULL	21397
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	KRT13	54296	1	HsVcPPILacVa1AD1	E03	GFAP	2920	3AT	3	4	NULL	8178
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	MYD88	138	1	HsVcPPILacVa1AD1	F01	IRAK4	6395	3AT	3	3	NULL	18754
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	RP2	11374	1	HsVcPPILacVa1AD1	F02	OSTF1	5498	3AT	3	4	NULL	20396
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	NR0B1	7215	1	HsVcPPILacVa1AD1	F03	ESRRG	10820	3AT	3	3	NULL	5249
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	MYD88	138	1	HsVcPPILacVa1AD1	G01	MYD88	138	3AT	3	4	NULL	18068
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	KRT13	54296	1	HsVcPPILacVa1AD1	G02	KRT1	14215	3AT	3	4	NULL	11635
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa1AD1	G03	IMPDH2	2442	3AT	3	0	NULL	12
HsVcPPILacVa1AD	VS67SM	sample_16	G_AD_AD_n_for	P_AD_term_i5	CAPN3	8876	2	HsVcPPILacVa1AD1	H01	WDYHV1	4786	3AT	3	4	NULL	16473
