experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	pairwise_plate	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	CRYGC	71591	1	HsVcPPILacVa1_1	A01	TRIM7	55039	LW	2	4	NULL	35519
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa1_1	A02	RBAK	70682	LW	2	4	NULL	13648
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa1_1	A03	NOTCH2NLA	55237	LW	2	4	NULL	17210
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa1_1	A04	TRIP6	3907	LW	2	NA	NULL	1
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	TSFM	70357	1	HsVcPPILacVa1_1	A05	GOLGA6L9	10460	LW	2	4	NULL	21542
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	RP2	11374	2	HsVcPPILacVa1_1	A06	PM20D2	71346	LW	2	4	NULL	19934
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	AHCY	5896	1	HsVcPPILacVa1_1	A07	C1orf50	3753	LW	2	4	NULL	12163
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	NR0B1	7215	1	HsVcPPILacVa1_1	A08	NR5A1	9939	LW	2	4	NULL	11477
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	KRT6A	4870	2	HsVcPPILacVa1_1	A09	KRT27	100066360	LW	2	4	NULL	10746
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	KRT6A	4870	2	HsVcPPILacVa1_1	A10	KRT35	100014396	LW	2	4	NULL	13321
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	KRT6A	4870	1	HsVcPPILacVa1_1	A11	TRIM54	55664	LW	2	4	NULL	8038
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	CRYGC	71591	1	HsVcPPILacVa1_1	B01	empty_AD	0	LW	2	4	NULL	39745
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa1_1	B02	KRTAP9-8	71628	LW	2	4	NULL	14972
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa1_1	B03	BLZF1	13067	LW	2	4	NULL	13455
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa1_1	B04	RGS17	675	LW	2	4	NULL	17055
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	TSFM	70357	1	HsVcPPILacVa1_1	B05	RALBP1	2384	LW	2	4	NULL	20009
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	RP2	11374	2	HsVcPPILacVa1_1	B06	empty_AD	0	LW	2	4	NULL	12076
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	AHCY	5896	1	HsVcPPILacVa1_1	B07	empty_AD	0	LW	2	4	NULL	9745
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	NR0B1	7215	1	HsVcPPILacVa1_1	B08	empty_AD	0	LW	2	4	NULL	9462
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	KRT6A	4870	2	HsVcPPILacVa1_1	B09	KRT16	100011278	LW	2	4	NULL	10129
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	KRT6A	4870	2	HsVcPPILacVa1_1	B10	empty_AD	0	LW	2	4	NULL	9741
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	KRT6A	4870	1	HsVcPPILacVa1_1	B11	KIFC3	11229	LW	2	4	NULL	5927
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	VAPB	3756	1	HsVcPPILacVa1_1	C01	ZBTB22	991	LW	2	4	NULL	45720
HsVcPPILacVa1	VS67SM	sample_17	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa1_1	C02	KRT37	100014378	LW	2	4	NULL	12738
