experiment	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	db_aa_score	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	ACTN4	5082	1	B09	MYOZ2	5651	3AT	1	0	0	143	0
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	ACTN4	5082	1	C09	empty-AD	0	3AT	1	0	0	112	0
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	AIPL1	7167	1	D09	PLSCR3	6963	3AT	1	0	2	30993	27941
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	AIPL1	7167	1	E09	empty-AD	0	3AT	1	0	0	26	0
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	ASPA	8459	1	C04	ACY3	2837	3AT	1	0	1	48963	44186
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	ASPA	8459	1	D04	empty-AD	0	3AT	1	0	0	52	0
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BAG3	5066	1	C10	ATN1	100070339	3AT	1	3	3	42889	9714
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BAG3	5066	1	E09	DAZAP2	3598	3AT	1	3	3	43789	7563
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BAG3	5066	1	C09	DVL1	11572	3AT	1	3	2	52988	4765
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BAG3	5066	1	A10	HSPB8	4066	3AT	1	3	4	37614	26745
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BAG3	5066	1	B10	MAGED1	9625	3AT	1	3	4	22220	12172
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BAG3	5066	1	G09	PDE9A	3048	3AT	1	3	4	24381	7057
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BAG3	5066	1	B09	PTPN21	100068246	3AT	1	3	4	59422	7675
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BAG3	5066	1	H09	RUNX1	70610	3AT	1	3	3	13992	2391
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BAG3	5066	1	F09	TP53BP2	55351	3AT	1	3	4	72545	1521
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BAG3	5066	1	D09	TRIP6	3907	3AT	1	3	0	1499	0
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BAG3	5066	1	D10	empty-AD	0	3AT	1	3	1	45251	20
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BSCL2	6644	1	H03	CYSRT1	13662	3AT	1	0	0	596	0
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	BSCL2	6644	1	G03	HOXA1	10057	3AT	1	0	0	3007	1
