experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	JAGN1	12527	1	A01	PSCA	13502	3AT	1	4	NULL	33150
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	JAGN1	12527	1	B01	empty_AD	0	3AT	1	0	NULL	1
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EBP	2416	1	C01	TMEM14B	14338	3AT	1	3	NULL	41538
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EBP	2416	1	D01	empty_AD	0	3AT	1	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	E01	CERS4	6602	3AT	1	4	NULL	32455
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	F01	ANKS6	12228	3AT	1	3	NULL	9439
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	G01	CASC4	12141	3AT	1	4	NULL	16806
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	H01	GORAB	12303	3AT	1	1	NULL	4122
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	A02	KCNJ18	100080594	3AT	1	4	NULL	28112
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	B02	INCA1	56442	3AT	1	0	NULL	19
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	C02	TCF23	70759	3AT	1	1	NULL	1679
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	D02	LIME1	487	3AT	1	3	NULL	4455
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	E02	ERMAP	52699	3AT	1	4	NULL	31680
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	F02	CXorf66	70565	3AT	1	4	NULL	12429
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	G02	SOWAHB	70750	3AT	1	3	NULL	5173
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	H02	FAM209A	70989	3AT	1	3	NULL	18847
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	A03	KCNN3	13559	3AT	1	4	NULL	12369
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	B03	ANK1	13235	3AT	1	4	NULL	14052
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	C03	C7orf45	1617	3AT	1	3	NULL	19470
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	D03	ZNF774	14269	3AT	1	3	NULL	19178
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	EMD	3535	1	E03	empty_AD	0	3AT	1	0	NULL	1
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	NMNAT1	7675	1	F03	NMNAT1	7675	3AT	1	4	NULL	23986
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	NMNAT1	7675	1	G03	empty_AD	0	3AT	1	0	NULL	1
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	POLR1C	5431	1	H03	LRIF1	333	3AT	1	3	NULL	19983
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	POLR1C	5431	1	A04	POLR1D	2739	3AT	1	4	NULL	25162
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	POLR1C	5431	1	B04	XPA	7662	3AT	1	3	NULL	2901
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	POLR1C	5431	1	C04	RBM48	71288	3AT	1	4	NULL	16439
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	POLR1C	5431	1	D04	ZIM2	71894	3AT	1	2	NULL	11238
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	POLR1C	5431	1	E04	STMN3	6710	3AT	1	3	NULL	9064
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	POLR1C	5431	1	F04	NME4	4351	3AT	1	3	NULL	4007
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	POLR1C	5431	1	G04	TNNI1	6326	3AT	1	3	NULL	16620
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	POLR1C	5431	1	H04	WASH3P	11452	3AT	1	3	NULL	4920
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	POLR1C	5431	1	A05	empty_AD	0	3AT	1	0	NULL	1
