experiment	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	ATP6V0C	6959	1	A01	MSR1	14311	3AT	1	3	6087	5481
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	ATP6V0C	6959	1	B01	MCEMP1	71885	3AT	1	4	14471	13052
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	ATP6V0C	6959	1	C01	empty-AD	0	3AT	1	0	7951	210
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	HINT1	1841	1	D01	CPSF7	2549	3AT	1	0	517	428
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	HINT1	1841	1	E01	empty-AD	0	3AT	1	0	382	330
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM2	1	1	F01	TBC1D1	10585	3AT	1	4	41829	37643
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM2	1	1	G01	CAMTA2	9711	3AT	1	4	33587	29638
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM2	1	1	H01	IQCE	14968	3AT	1	0	16	8
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM2	1	1	A02	C11orf65	2162	3AT	1	3	27767	24599
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM2	1	1	B02	POC5	52781	3AT	1	3	23669	21121
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM2	1	1	C02	IQCG	100066775	3AT	1	3	14230	12767
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM2	1	1	D02	empty-AD	0	3AT	1	0	217	176
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM3	3484	1	E02	TBC1D1	10585	3AT	1	4	32657	28130
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM3	3484	1	F02	CAMTA2	9711	3AT	1	2	5683	4973
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM3	3484	1	G02	IQCE	14968	3AT	1	3	27897	24064
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM3	3484	1	H02	C11orf65	2162	3AT	1	4	42028	36291
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM3	3484	1	A03	POC5	52781	3AT	1	0	56	39
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM3	3484	1	B03	IQCG	100066775	3AT	1	2	1598	1361
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CALM3	3484	1	C03	empty-AD	0	3AT	1	0	395	339
