experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	db_aa_score	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	INS	5628	1	A01	CYSRT1	13662	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	INS	5628	1	B01	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	ATP6V0C	6959	1	C01	CLEC17A	70810	3AT	1	0	4	NULL	12716
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	ATP6V0C	6959	1	D01	MSR1	14311	3AT	1	0	3	NULL	7727
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	ATP6V0C	6959	1	E01	MCEMP1	71885	3AT	1	0	4	NULL	8889
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	ATP6V0C	6959	1	F01	emptyAD	0	3AT	1	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	HINT1	1841	1	G01	CPSF7	2549	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	HINT1	1841	1	H01	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	SH2D1A	13022	1	A02	LHX3	100016058	3AT	1	0	3	NULL	6
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	SH2D1A	13022	1	B02	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TTR	8999	1	C02	ATF5	3490	3AT	1	0	3	NULL	7222
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TTR	8999	1	D02	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM2	1	1	E02	TBC1D1	10585	3AT	1	0	4	NULL	4293
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM2	1	1	F02	CAMTA2	9711	3AT	1	0	4	NULL	21005
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM2	1	1	G02	IQCE	14968	3AT	1	0	4	NULL	14591
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM2	1	1	H02	C11orf65	2162	3AT	1	0	4	NULL	20783
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM2	1	1	A03	POC5	52781	3AT	1	0	3	NULL	3490
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM2	1	1	B03	IQCG	100066775	3AT	1	0	3	NULL	8361
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM2	1	1	C03	emptyAD	0	3AT	1	0	0	NULL	2
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM3	3484	1	D03	TBC1D1	10585	3AT	1	0	4	NULL	2069
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM3	3484	1	E03	CAMTA2	9711	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM3	3484	1	F03	IQCE	14968	3AT	1	0	3	NULL	14744
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM3	3484	1	G03	C11orf65	2162	3AT	1	0	4	NULL	18796
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM3	3484	1	H03	POC5	52781	3AT	1	0	2	NULL	4966
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM3	3484	1	A04	IQCG	100066775	3AT	1	0	1	NULL	446
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CALM3	3484	1	B04	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PMP22	7323	1	C04	EDA	54326	3AT	1	0	3	NULL	7782
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PMP22	7323	1	D04	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PPIL1	3755	1	E04	TCF4	56644	3AT	1	0	2	NULL	16499
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PPIL1	3755	1	F04	COL17A1	100068264	3AT	1	0	4	NULL	16473
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PPIL1	3755	1	G04	N4BP2L2	2958	3AT	1	0	2	NULL	16348
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PPIL1	3755	1	H04	KPRP	100016119	3AT	1	0	3	NULL	12361
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PPIL1	3755	1	A05	SNW1	52879	3AT	1	0	4	NULL	2326
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PPIL1	3755	1	B05	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TCAP	6345	1	C05	IKZF3	10016	3AT	1	0	0	NULL	0
