experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	pairwise_plate	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	CALM2	1	1	HsVcPPIP02v1AD1	A01	CAMTA2	9711	3AT	2	3	NULL	29328
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	CRYAB	5585	1	HsVcPPIP02v1AD1	A02	FP236240.1	13813	3AT	2	3	NULL	13313
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	A03	GPATCH2L	13363	3AT	2	3	NULL	21611
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	A04	KANK2	14983	3AT	2	3	NULL	22040
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	A05	RIPPLY1	55999	3AT	2	3	NULL	14113
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	A06	FGF11	9976	3AT	2	2	NULL	14240
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	A07	RBM10	4573	3AT	2	3	NULL	15669
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	HPRT1	7982	1	HsVcPPIP02v1AD1	A08	WDYHV1	4786	3AT	2	4	NULL	20073
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD1	14221	1	HsVcPPIP02v1AD1	A09	UBASH3A	13969	3AT	2	0	NULL	10735
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD1	14221	1	HsVcPPIP02v1AD1	A10	TRAPPC2	6935	3AT	2	4	NULL	12380
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD7	70368	1	HsVcPPIP02v1AD1	A11	ZNF417	8400	3AT	2	3	NULL	4765
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD7	70368	1	HsVcPPIP02v1AD1	A12	NIF3L1	4562	3AT	2	2	NULL	761
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	CALM2	1	1	HsVcPPIP02v1AD1	B01	C11orf65	2162	3AT	2	3	NULL	23532
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	CRYAB	5585	1	HsVcPPIP02v1AD1	B02	GORASP2	4973	3AT	2	3	NULL	14672
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	B03	INO80B	11788	3AT	2	NA	NULL	7
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	B04	C11orf57	14650	3AT	2	4	NULL	18035
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	B05	SREK1IP1	56807	3AT	2	4	NULL	19700
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	B06	CSNK2A1	6699	3AT	2	3	NULL	9603
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	B07	THAP1	1668	3AT	2	4	NULL	19365
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	HPRT1	7982	1	HsVcPPIP02v1AD1	B08	SDCBP	53842	3AT	2	3	NULL	18385
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD1	14221	1	HsVcPPIP02v1AD1	B09	TGM7	100015481	3AT	2	4	NULL	15546
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD1	14221	1	HsVcPPIP02v1AD1	B10	LMO1	14023	3AT	2	4	NULL	10748
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD7	70368	1	HsVcPPIP02v1AD1	B11	GAS2L2	100015630	3AT	2	3	NULL	7634
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD7	70368	1	HsVcPPIP02v1AD1	B12	DVL3	9635	3AT	2	3	NULL	5403
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	CALM2	1	1	HsVcPPIP02v1AD1	C01	KIAA1683	56859	3AT	2	4	NULL	31588
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	FTL	5737	1	HsVcPPIP02v1AD1	C02	WDYHV1	4786	3AT	2	3	NULL	17699
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	C03	BYSL	11723	3AT	2	3	NULL	16780
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	C04	PRR20D	56508	3AT	2	3	NULL	17005
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	C05	LNX1	8141	3AT	2	3	NULL	17614
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	C06	MRPL53	7171	3AT	2	2	NULL	13002
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	C07	FGF12	1161	3AT	2	2	NULL	11476
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	PLP1	4062	1	HsVcPPIP02v1AD1	C08	PTPRN	4946	3AT	2	0	NULL	3
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD1	14221	1	HsVcPPIP02v1AD1	C09	POLR1C	5431	3AT	2	4	NULL	15250
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD1	14221	1	HsVcPPIP02v1AD1	C10	KCTD15	6714	3AT	2	4	NULL	12311
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD7	70368	1	HsVcPPIP02v1AD1	C11	TCEA2	6195	3AT	2	3	NULL	7010
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD7	70368	1	HsVcPPIP02v1AD1	C12	PIN1	4406	3AT	2	4	NULL	8456
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	CALM3	3484	1	HsVcPPIP02v1AD1	D01	CAMTA2	9711	3AT	2	2	NULL	14033
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	FTL	5737	1	HsVcPPIP02v1AD1	D02	SDCBP	53842	3AT	2	4	NULL	17804
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	D03	BAG5	11688	3AT	2	4	NULL	16641
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	D04	LMNB2	100067760	3AT	2	3	NULL	14840
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	D05	STRBP	787	3AT	2	3	NULL	17961
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	D06	PHF1	5002	3AT	2	3	NULL	17588
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	CSNK2B	71965	1	HsVcPPIP02v1AD1	D07	CSNK2A1	6699	3AT	2	4	NULL	12143
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	TPK1	14468	1	HsVcPPIP02v1AD1	D08	TPK1	14468	3AT	2	4	NULL	12877
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD1	14221	1	HsVcPPIP02v1AD1	D09	MORF4L2	11965	3AT	2	4	NULL	12582
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	PQBP1	7270	1	HsVcPPIP02v1AD1	D10	MAPRE1	56115	3AT	2	0	NULL	2
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD7	70368	1	HsVcPPIP02v1AD1	D11	KAT5	53941	3AT	2	3	NULL	7236
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	OTX2	9958	1	HsVcPPIP02v1AD1	D12	M1AP	1295	3AT	2	0	NULL	0
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	CALM3	3484	1	HsVcPPIP02v1AD1	E01	C11orf65	2162	3AT	2	3	NULL	23497
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	APRT	52956	1	HsVcPPIP02v1AD1	E02	TTC19	6877	3AT	2	0	NULL	2
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	E03	ZCCHC10	12844	3AT	2	4	NULL	15221
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	E04	ZNF385C	15010	3AT	2	2	NULL	9987
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	E05	ZBTB48	154	3AT	2	3	NULL	13217
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	E06	C1orf35	4173	3AT	2	4	NULL	18225
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	CSNK2B	71965	1	HsVcPPIP02v1AD1	E07	CSNK2A2	4887	3AT	2	4	NULL	8351
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	TPK1	14468	1	HsVcPPIP02v1AD1	E08	OPLAH	100014361	3AT	2	4	NULL	11566
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD1	14221	1	HsVcPPIP02v1AD1	E09	KCTD1	14221	3AT	2	4	NULL	10058
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD7	70368	1	HsVcPPIP02v1AD1	E10	KCTD7	70368	3AT	2	4	NULL	5990
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	KCTD7	70368	1	HsVcPPIP02v1AD1	E11	CUL3	11305	3AT	2	4	NULL	6456
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	STUB1	5219	1	HsVcPPIP02v1AD1	E12	OLFM3	1270	3AT	2	4	NULL	6881
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	CALM3	3484	1	HsVcPPIP02v1AD1	F01	KIAA1683	56859	3AT	2	4	NULL	23899
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	IFT27	7972	1	HsVcPPIP02v1AD1	F02	HSPB11	5491	3AT	2	4	NULL	17979
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	F03	FAM133A	53675	3AT	2	4	NULL	15151
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	F04	CDC37	100009829	3AT	2	4	NULL	10261
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	F05	ZNF408	252	3AT	2	3	NULL	16763
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	THAP1	1668	1	HsVcPPIP02v1AD1	F06	TCEANC	856	3AT	2	3	NULL	7
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	HPRT1	7982	1	HsVcPPIP02v1AD1	F07	HPRT1	7982	3AT	2	4	NULL	16793
HsVcPPIP02v1AD	VS67SM	sample_01	G_AD_AD_n_for	O_AD_term_i5	QDPR	7966	1	HsVcPPIP02v1AD1	F08	ANKRD13A	14208	3AT	2	4	NULL	8979
