experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	pairwise_plate	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	D_DB	P_AD	PAEP	13789	1	HsVcPPIUCEC01_2	A11	empty_AD	0	LW	3	4	NULL	57265
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	D_DB	P_AD	PMS2	71716	1	HsVcPPIUCEC01_2	B11	EXO1	4484	LW	3	4	NULL	1886
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	D_DB	P_AD	PMS2	71716	1	HsVcPPIUCEC01_2	C11	MEOX2	824	LW	3	4	NULL	1849
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	D_DB	P_AD	PMS2	71716	1	HsVcPPIUCEC01_2	D11	empty_AD	0	LW	3	4	NULL	1922
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	D_DB	P_AD	SFRP4	11971	1	HsVcPPIUCEC01_2	E11	AQP6	100062388	LW	3	4	NULL	36245
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	D_DB	P_AD	SFRP4	11971	1	HsVcPPIUCEC01_2	F11	empty_AD	0	LW	3	4	NULL	37255
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	D_DB	P_AD	SFRP4	11971	2	HsVcPPIUCEC01_2	G11	AQP6	100062388	LW	3	4	NULL	16337
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	D_DB	P_AD	SFRP4	11971	2	HsVcPPIUCEC01_2	H11	empty_AD	0	LW	3	4	NULL	19187
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	K_DB	E_AD	PAEP	13789	1	HsVcPPIUCEC01_2	A11	empty_AD	0	LW	1	4	NULL	37870
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	K_DB	E_AD	PMS2	71716	1	HsVcPPIUCEC01_2	B11	EXO1	4484	LW	1	4	NULL	4116
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	K_DB	E_AD	PMS2	71716	1	HsVcPPIUCEC01_2	C11	MEOX2	824	LW	1	4	NULL	1434
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	K_DB	E_AD	PMS2	71716	1	HsVcPPIUCEC01_2	D11	empty_AD	0	LW	1	4	NULL	4174
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	K_DB	E_AD	SFRP4	11971	1	HsVcPPIUCEC01_2	E11	AQP6	100062388	LW	1	4	NULL	57700
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	K_DB	E_AD	SFRP4	11971	1	HsVcPPIUCEC01_2	F11	empty_AD	0	LW	1	4	NULL	58259
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	K_DB	E_AD	SFRP4	11971	2	HsVcPPIUCEC01_2	G11	AQP6	100062388	LW	1	4	NULL	21597
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	K_DB	E_AD	SFRP4	11971	2	HsVcPPIUCEC01_2	H11	empty_AD	0	LW	1	4	NULL	16683
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	N_DB	O_AD	PAEP	13789	1	HsVcPPIUCEC01_2	A11	empty_AD	0	LW	2	4	NULL	95747
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	N_DB	O_AD	PMS2	71716	1	HsVcPPIUCEC01_2	B11	EXO1	4484	LW	2	4	NULL	1608
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	N_DB	O_AD	PMS2	71716	1	HsVcPPIUCEC01_2	C11	MEOX2	824	LW	2	4	NULL	1411
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	N_DB	O_AD	PMS2	71716	1	HsVcPPIUCEC01_2	D11	empty_AD	0	LW	2	4	NULL	2340
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	N_DB	O_AD	SFRP4	11971	1	HsVcPPIUCEC01_2	E11	AQP6	100062388	LW	2	4	NULL	52640
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	N_DB	O_AD	SFRP4	11971	1	HsVcPPIUCEC01_2	F11	empty_AD	0	LW	2	4	NULL	57536
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	N_DB	O_AD	SFRP4	11971	2	HsVcPPIUCEC01_2	G11	AQP6	100062388	LW	2	4	NULL	21328
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_14	N_DB	O_AD	SFRP4	11971	2	HsVcPPIUCEC01_2	H11	empty_AD	0	LW	2	4	NULL	18502
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	D_DB	P_AD	PAEP	13789	1	HsVcPPIUCEC01_2	A11	empty_AD	0	3AT	3	0	NULL	10370
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	D_DB	P_AD	PMS2	71716	1	HsVcPPIUCEC01_2	B11	EXO1	4484	3AT	3	2	NULL	0
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	D_DB	P_AD	PMS2	71716	1	HsVcPPIUCEC01_2	C11	MEOX2	824	3AT	3	2	NULL	56
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	D_DB	P_AD	PMS2	71716	1	HsVcPPIUCEC01_2	D11	empty_AD	0	3AT	3	2	NULL	32
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	D_DB	P_AD	SFRP4	11971	1	HsVcPPIUCEC01_2	E11	AQP6	100062388	3AT	3	4	NULL	40801
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	D_DB	P_AD	SFRP4	11971	1	HsVcPPIUCEC01_2	F11	empty_AD	0	3AT	3	0	NULL	10648
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	D_DB	P_AD	SFRP4	11971	2	HsVcPPIUCEC01_2	G11	AQP6	100062388	3AT	3	4	NULL	18994
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	D_DB	P_AD	SFRP4	11971	2	HsVcPPIUCEC01_2	H11	empty_AD	0	3AT	3	0	NULL	6574
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	K_DB	E_AD	PAEP	13789	1	HsVcPPIUCEC01_2	A11	empty_AD	0	3AT	1	0	NULL	14477
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	K_DB	E_AD	PMS2	71716	1	HsVcPPIUCEC01_2	B11	EXO1	4484	3AT	1	2	NULL	0
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	K_DB	E_AD	PMS2	71716	1	HsVcPPIUCEC01_2	C11	MEOX2	824	3AT	1	2	NULL	93
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	K_DB	E_AD	PMS2	71716	1	HsVcPPIUCEC01_2	D11	empty_AD	0	3AT	1	2	NULL	64
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	K_DB	E_AD	SFRP4	11971	1	HsVcPPIUCEC01_2	E11	AQP6	100062388	3AT	1	4	NULL	40342
HsVcPPIUCEC01a6	4JCNSZ	4JCNSZ_sample_15	K_DB	E_AD	SFRP4	11971	1	HsVcPPIUCEC01_2	F11	empty_AD	0	3AT	1	0	NULL	17817
