experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	pairwise_plate	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIUCECasADv2	9N4QRD	9N4QRD_sample_10	I_AD_AD_n_for	E_AD_term_i5	CHRDL2	100014503	1	HsVcPPIUCECad2_1	A02	POU4F2	100080752	LW	1	4	NULL	3942
HsVcPPIUCECasADv2	9N4QRD	9N4QRD_sample_10	I_AD_AD_n_for	E_AD_term_i5	CHRDL2	100014503	1	HsVcPPIUCECad2_1	B02	HOXA1	10057	LW	1	4	NULL	2351
HsVcPPIUCECasADv2	9N4QRD	9N4QRD_sample_10	I_AD_AD_n_for	E_AD_term_i5	CHRDL2	100014503	1	HsVcPPIUCECad2_1	C02	BANP	6534	LW	1	4	NULL	4084
HsVcPPIUCECasADv2	9N4QRD	9N4QRD_sample_10	I_AD_AD_n_for	E_AD_term_i5	CHRDL2	100014503	1	HsVcPPIUCECad2_1	D02	ZNF587	54426	LW	1	4	NULL	4416
HsVcPPIUCECasADv2	9N4QRD	9N4QRD_sample_10	I_AD_AD_n_for	E_AD_term_i5	CHRDL2	100014503	1	HsVcPPIUCECad2_1	E02	ENKD1	4798	LW	1	4	NULL	6590
HsVcPPIUCECasADv2	9N4QRD	9N4QRD_sample_10	I_AD_AD_n_for	E_AD_term_i5	CHRDL2	100014503	1	HsVcPPIUCECad2_1	F02	ZNF417	8400	LW	1	4	NULL	6221
HsVcPPIUCECasADv2	9N4QRD	9N4QRD_sample_10	I_AD_AD_n_for	E_AD_term_i5	CHRDL2	100014503	1	HsVcPPIUCECad2_1	G02	OTX1	5285	LW	1	4	NULL	5870
HsVcPPIUCECasADv2	9N4QRD	9N4QRD_sample_10	I_AD_AD_n_for	E_AD_term_i5	CHRDL2	100014503	1	HsVcPPIUCECad2_1	H02	MAPRE3	7187	LW	1	4	NULL	5041
HsVcPPIUCECasADv2	9N4QRD	9N4QRD_sample_10	I_AD_AD_n_for	E_AD_term_i5	CHRDL2	100014503	1	HsVcPPIUCECad2_1	A03	FAH	7923	LW	1	4	NULL	3993
HsVcPPIUCECasADv2	9N4QRD	9N4QRD_sample_10	I_AD_AD_n_for	E_AD_term_i5	CHRDL2	100014503	1	HsVcPPIUCECad2_1	B03	PIK3R3	2486	LW	1	4	NULL	6987
