experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	pairwise_plate	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	A01	GGA3	14441	LW	1	4	NULL	22446
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	A02	STAM2	1863	LW	1	4	NULL	17983
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	A03	TAX1BP1	11567	LW	1	4	NULL	29217
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	A04	EPN1	11132	LW	1	4	NULL	30056
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	A05	EPN2	71715	LW	1	4	NULL	34172
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	A06	HIP1	56215	LW	1	4	NULL	24402
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	A07	REEP6	2845	LW	1	4	NULL	33308
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	A08	UBQLN2	71001	LW	1	4	NULL	31478
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	A09	DAZAP2	3598	LW	1	4	NULL	28537
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	A10	empty_AD	0	LW	1	4	NULL	945
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	B01	GGA3	14441	LW	2	4	NULL	32451
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	B02	STAM2	1863	LW	2	4	NULL	37827
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	B03	TAX1BP1	11567	LW	2	4	NULL	40092
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	B04	EPN1	11132	LW	2	4	NULL	35108
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	B05	EPN2	71715	LW	2	4	NULL	31636
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	B06	HIP1	56215	LW	2	4	NULL	36948
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	B07	REEP6	2845	LW	2	4	NULL	21676
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	B08	UBQLN2	71001	LW	2	4	NULL	38355
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	B09	DAZAP2	3598	LW	2	4	NULL	34519
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	B10	empty_AD	0	LW	2	4	NULL	32100
LITAF	ZV5WWM	litaf_pooled_y2h_with_replicates_Chantal	J_DB	C_AD	LITAF	52920	1	with_replicates_Chantal	C01	GGA3	14441	LW	3	4	NULL	24696
