experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	pairwise_plate	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	A01	ABI2	7439	LW	1	4	NULL	5176
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	A02	PDE9A	3048	LW	1	4	NULL	7314
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	A03	TRIM32	3878	LW	1	4	NULL	7773
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	A04	RABAC1	4757	LW	1	4	NULL	6405
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	A05	UBQLN1	2261	LW	1	4	NULL	3468
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	A06	UBQLN2	71001	LW	1	4	NULL	7597
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	A07	empty_AD	0	LW	1	4	NULL	6744
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	B01	ABI2	7439	LW	2	4	NULL	6469
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	B02	PDE9A	3048	LW	2	4	NULL	4973
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	B03	TRIM32	3878	LW	2	4	NULL	7636
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	B04	RABAC1	4757	LW	2	4	NULL	7399
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	B05	UBQLN1	2261	LW	2	4	NULL	4744
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	B06	UBQLN2	71001	LW	2	4	NULL	7512
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	B07	empty_AD	0	LW	2	4	NULL	5827
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	C01	ABI2	7439	LW	3	4	NULL	5679
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	C02	PDE9A	3048	LW	3	4	NULL	5655
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	C03	TRIM32	3878	LW	3	4	NULL	5621
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	C04	RABAC1	4757	LW	3	4	NULL	6316
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	C05	UBQLN1	2261	LW	3	4	NULL	7937
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	C06	UBQLN2	71001	LW	3	4	NULL	6300
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	C07	empty_AD	0	LW	3	4	NULL	7872
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	F01	ABI2	7439	3AT	1	3	NULL	5462
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	F02	PDE9A	3048	3AT	1	3	NULL	4327
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	F03	TRIM32	3878	3AT	1	4	NULL	6694
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	F04	RABAC1	4757	3AT	1	1	NULL	5485
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	F05	UBQLN1	2261	3AT	1	3	NULL	5670
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	F06	UBQLN2	71001	3AT	1	4	NULL	7905
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	F07	empty_AD	0	3AT	1	0	NULL	667
TRIM32	FBC58793	tkb_trim32_pooled_y2h	J_DB	D_AD	TRIM32	3878	1	NULL	G01	ABI2	7439	3AT	2	3	NULL	6760
