experiment	sample_name	primerset_5	primerset_3	pool_id	well	interactor_id	media	repeat_id	orf_id
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	A01	71807	3AT	1	CCSBORF12527
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	A02	0	3AT	1	CCSBORF3672
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	A03	100070143	3AT	1	CCSBORF3535
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	A04	2347	3AT	1	CCSBORF7675
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	A05	0	3AT	1	CCSBORF2654
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	A06	54957	3AT	1	CCSBORF5431
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	A07	1611	3AT	1	CCSBORF5431
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	A08	100016009	3AT	1	CCSBORF5431
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	A09	0	3AT	1	CCSBORF11386
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	A10	4249	3AT	1	CCSBORF5933
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	3	A11	12573	3AT	1	CCSBORF2920
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	2	A12	0	3AT	1	CCSBORF2920
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	B01	9267	3AT	1	CCSBORF12527
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	B02	56463	3AT	1	CCSBORF3535
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	B03	100064217	3AT	1	CCSBORF3535
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	B04	0	3AT	1	CCSBORF7675
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	B05	13561	3AT	1	CCSBORF5431
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	B06	10016	3AT	1	CCSBORF5431
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	B07	4976	3AT	1	CCSBORF5431
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	B08	100068229	3AT	1	CCSBORF5431
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	B09	4516	3AT	1	CCSBORF12657
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	B10	7591	3AT	1	CCSBORF5933
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	3	B11	4105	3AT	1	CCSBORF2920
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	B12	54692	3AT	1	CCSBORF2920
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	C01	956	3AT	1	CCSBORF12527
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	C02	12260	3AT	1	CCSBORF3535
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	C03	824	3AT	1	CCSBORF3535
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	C04	2837	3AT	1	CCSBORF8459
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	C05	201	3AT	1	CCSBORF5431
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	C06	14221	3AT	1	CCSBORF5431
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	C07	3125	3AT	1	CCSBORF5431
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	C08	0	3AT	1	CCSBORF5431
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	C09	0	3AT	1	CCSBORF12657
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	C10	4717	3AT	1	CCSBORF5933
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	3	C11	0	3AT	1	CCSBORF2920
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	C12	69	3AT	1	CCSBORF2920
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB_DB_n_for	D_AD_term_i5	1	D01	0	3AT	1	CCSBORF12527
