experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	pairwise_plate	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	A01	CCDC33	8359	LW	1	NULL	NULL	26070
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	A02	SMURF2	71704	LW	1	NULL	NULL	16929
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	A03	empty_AD	0	LW	1	NULL	NULL	0
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	A05	CCDC33	8359	LW	2	NULL	NULL	13467
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	A06	SMURF2	71704	LW	2	NULL	NULL	25295
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	A07	empty_AD	0	LW	2	NULL	NULL	0
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	A09	CCDC33	8359	LW	3	NULL	NULL	19049
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	A10	SMURF2	71704	LW	3	NULL	NULL	10508
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	A11	empty_AD	0	LW	3	NULL	NULL	0
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	C01	CCDC33	8359	3AT	1	NULL	NULL	38184
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	C02	SMURF2	71704	3AT	1	NULL	NULL	28413
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	C03	empty_AD	0	3AT	1	NULL	NULL	5
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	C05	CCDC33	8359	3AT	2	NULL	NULL	22990
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	C06	SMURF2	71704	3AT	2	NULL	NULL	39537
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	C07	empty_AD	0	3AT	2	NULL	NULL	0
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	C09	CCDC33	8359	3AT	3	NULL	NULL	40834
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	C10	SMURF2	71704	3AT	3	NULL	NULL	27312
smad3-liquid-pooled-y2h	NULL	smad3_liq_pooled_y2h	J_DB	D_AD	SMAD3	11805	2	NULL	C11	empty_AD	0	3AT	3	NULL	NULL	0
