orf_id	ensembl_gene_id	ensembl_gene_id_version	ensembl_protein_id
1	ENSG00000143933	20	ENSP00000272298.7
9	ENSG00000065029	15	ENSP00000363064.3
17	ENSG00000139644	13	ENSP00000267115.5
25	ENSG00000109062	12	ENSP00000262613.5
36	ENSG00000153048	11	ENSP00000311847.4
65	ENSG00000111057	11	ENSP00000373487.3
66	ENSG00000205571	14	ENSP00000486152.1
69	ENSG00000026025	16	ENSP00000446007.1
93	ENSG00000256235	3	ENSP00000436897.1
100	ENSG00000166946	14	ENSP00000300213.4
115	ENSG00000171680	23	ENSP00000366954.1
117	ENSG00000171302	17	ENSP00000376241.4
122	ENSG00000170310	15	ENSP00000305255.2
124	ENSG00000172315	6	ENSP00000361186.3
135	ENSG00000196072	12	ENSP00000410865.1
137	ENSG00000099940	12	ENSP00000215730.6
138	ENSG00000172936	17	ENSP00000498360.2
143	ENSG00000106462	12	ENSP00000320147.2
145	ENSG00000150787	8	ENSP00000280362.3
147	ENSG00000073008	15	ENSP00000402060.2
150	ENSG00000119318	13	ENSP00000350708.3
152	ENSG00000204713	11	ENSP00000366404.3
154	ENSG00000204859	13	ENSP00000366902.4
155	ENSG00000136270	14	ENSP00000258770.3
156	ENSG00000197223	12	ENSP00000386468.3
172	ENSG00000090061	17	ENSP00000452307.1
190	ENSG00000133884	11	ENSP00000436901.1
193	ENSG00000140382	15	ENSP00000336856.4
199	ENSG00000102362	16	ENSP00000362080.1
201	ENSG00000214717	12	ENSP00000498725.1
208	ENSG00000113369	9	ENSP00000265138.3
209	ENSG00000104147	9	ENSP00000220514.3
231	ENSG00000132341	12	ENSP00000446215.1
232	ENSG00000132475	10	ENSP00000254810.3
244	ENSG00000079999	14	ENSP00000171111.4
252	ENSG00000175213	3	ENSP00000309606.2
253	ENSG00000149925	22	ENSP00000455800.2
268	ENSG00000116761	12	ENSP00000359976.3
275	ENSG00000146826	17	ENSP00000324741.3
277	ENSG00000151445	16	ENSP00000452191.1
279	ENSG00000136436	15	ENSP00000258947.3
281	ENSG00000110921	14	ENSP00000228510.3
282	ENSG00000015479	20	ENSP00000378284.3
300	ENSG00000213930	12	ENSP00000368119.4
326	ENSG00000198373	13	ENSP00000352069.2
329	ENSG00000184056	15	ENSP00000327650.4
333	ENSG00000121931	16	ENSP00000358778.4
343	ENSG00000106305	10	ENSP00000223029.3
349	ENSG00000139291	14	ENSP00000266673.5
359	ENSG00000160200	18	ENSP00000381231.4
361	ENSG00000155324	10	ENSP00000285689.3
369	ENSG00000149131	17	ENSP00000278407.4
371	ENSG00000172757	13	ENSP00000309629.5
386	ENSG00000147465	12	ENSP00000276449.3
392	ENSG00000198561	16	ENSP00000433158.1
399	ENSG00000070831	18	ENSP00000499457.1
428	ENSG00000167526	14	ENSP00000307889.5
439	ENSG00000212864	4	ENSP00000376572.1
442	ENSG00000129084	18	ENSP00000379676.2
445	ENSG00000101882	10	ENSP00000360464.3
455	ENSG00000116584	22	ENSP00000315325.7
467	ENSG00000103154	10	ENSP00000457354.1
482	ENSG00000141527	19	ENSP00000461806.1
487	ENSG00000203896	10	ENSP00000309521.3
489	ENSG00000115750	17	ENSP00000263663.4
501	ENSG00000265241	8	ENSP00000463058.2
504	ENSG00000165474	8	ENSP00000372299.4
510	ENSG00000169372	13	ENSP00000327647.3
513	ENSG00000103089	9	ENSP00000219368.3
525	ENSG00000196150	14	ENSP00000393442.2
549	ENSG00000106541	12	ENSP00000391490.2
563	ENSG00000116991	12	ENSP00000309102.4
573	ENSG00000095066	12	ENSP00000264827.4
575	ENSG00000038002	9	ENSP00000264595.2
580	ENSG00000079950	14	ENSP00000356918.1
581	ENSG00000147676	14	ENSP00000479708.1
604	ENSG00000125968	9	ENSP00000365280.3
613	ENSG00000179950	15	ENSP00000402953.2
617	ENSG00000182199	11	ENSP00000333667.3
622	ENSG00000108561	8	ENSP00000225698.4
623	ENSG00000168476	12	ENSP00000303482.3
636	ENSG00000225950	9	ENSP00000469455.1
660	ENSG00000092203	15	ENSP00000393080.3
675	ENSG00000091844	8	ENSP00000206262.1
676	ENSG00000075420	13	ENSP00000408496.1
678	ENSG00000164283	13	ENSP00000370812.4
699	ENSG00000135069	14	ENSP00000365773.3
724	ENSG00000140264	22	ENSP00000339647.5
727	ENSG00000132768	14	ENSP00000255108.3
730	ENSG00000115756	13	ENSP00000310749.3
732	ENSG00000132155	14	ENSP00000251849.4
740	ENSG00000120149	9	ENSP00000239243.5
747	ENSG00000153574	9	ENSP00000283646.3
753	ENSG00000121864	10	ENSP00000417740.1
778	ENSG00000025800	14	ENSP00000362728.3
784	ENSG00000160062	15	ENSP00000362609.3
787	ENSG00000165209	19	ENSP00000321347.7
789	ENSG00000139926	16	ENSP00000348550.4
798	ENSG00000034693	15	ENSP00000356563.4
801	ENSG00000170027	7	ENSP00000306330.3
813	ENSG00000183258	12	ENSP00000330349.8
817	ENSG00000114200	10	ENSP00000264381.3
